CORAL,Symbiont,REP,TEMP,SITE,day1,day3,day5,day7,day9,day11,day13
PR,C15b,1,low,NIKKO,0.6356667,0.6326666,0.6286666,0.6303333,0.6416667,0.6326666,0.6313334
PR,C15b,2,low,NIKKO,0.6426666,0.6396667,0.6336667,0.638,0.6566667,0.641,0.643
PR,C15b,3,low,NIKKO,0.635,0.639,0.632,0.637,0.654,0.64,0.6403334
PR,C15b,4,low,NIKKO,0.6406667,0.648,0.635,0.64,0.652,0.645,0.627
PR,C15b,5,low,NIKKO,0.6456667,0.648,0.638,0.6433333,0.658,0.6486667,0.6513333
PR,C15b,6,low,NIKKO,0.6256667,0.6373333,0.6203333,0.631,0.6233333,0.626,0.6293333
PR,C15b,7,low,NIKKO,0.63,0.6303333,0.6283333,0.634,0.644,0.638,0.6356667
PR,C15b,8,low,NIKKO,0.632,0.641,0.6393333,0.6406667,0.6286666,0.6493334,0.6423333
PR,C15a,1,low,OFFSHORE,0.626,0.6356667,0.6213334,0.635,0.6333333,0.6463333,0.6353334
PR,C15a,2,low,OFFSHORE,0.6553333,0.6486667,0.6323333,0.648,0.6446667,0.6376666,0.6563333
PR,C15a,3,low,OFFSHORE,0.6143333,0.6266667,0.609,0.6236666,0.6313334,0.6413333,0.627
PR,C15a,4,low,OFFSHORE,0.6436667,0.6323333,0.6213334,0.6486667,0.6486667,0.647,0.651
PR,C15a,5,low,OFFSHORE,0.6273333,0.6336667,0.6276667,0.6336667,0.6256667,0.634,0.633
PR,C15a,6,low,OFFSHORE,0.643,0.6433333,0.5973333,0.64,0.6383333,0.6383333,0.6336667
PR,C15a,7,low,OFFSHORE,0.637,0.637,0.6043333,0.6363333,0.6243333,0.6436667,0.6386667
PR,C15a,8,low,OFFSHORE,0.6163333,0.6266667,0.6323333,0.6296667,0.6086667,0.6176667,0.6216667
PR,C15b,1,high,NIKKO,0.6393333,0.63,0.62,0.6236666,0.623,0.6123334,0.6313334
PR,C15b,2,high,NIKKO,0.65,0.633,0.6276667,0.63,0.5873333,0.6186666,0.6126667
PR,C15b,3,high,NIKKO,0.6393333,0.63,0.6206667,0.6303333,0.6256667,0.6223333,0.634
PR,C15b,4,high,NIKKO,0.625,0.631,0.6303333,0.631,0.6283333,0.6286666,0.6243333
PR,C15b,5,high,NIKKO,0.641,0.6383333,0.6156667,0.628,0.6276667,0.623,0.64
PR,C15b,6,high,NIKKO,0.6273333,0.618,0.6233333,0.6136667,0.6123334,0.602,0.6173334
PR,C15b,7,high,NIKKO,0.6246667,0.6186666,0.6206667,0.621,0.5896667,0.5703334,0.604
PR,C15b,8,high,NIKKO,0.6336667,0.63,0.625,0.6446667,0.6223333,0.632,0.639
PR,C15a,1,high,OFFSHORE,0.6176667,0.6316667,0.5906667,0.585,0.626,0.5953333,0.5616667
PR,C15a,2,high,OFFSHORE,0.654,0.648,0.5823333,0.5873333,0.6303333,0.6333333,0.6163333
PR,C15a,3,high,OFFSHORE,0.621,0.6236666,0.5803334,0.6153333,0.5603333,0.5326667,0.5403333
PR,C15a,4,high,OFFSHORE,0.6363333,0.6376666,0.6116667,0.6135,0.6056666,0.5796667,0.564
PR,C15a,5,high,OFFSHORE,0.6276667,0.6313334,0.6093333,0.5603333,0.5786667,0.515,0.5493333
PR,C15a,6,high,OFFSHORE,0.6336667,0.6326666,0.5776666,0.5956666,0.5876667,0.5603333,0.561
PR,C15a,7,high,OFFSHORE,0.6266667,0.6306667,0.5886667,0.613,0.6233333,0.6036667,0.5996667
PR,C15a,8,high,OFFSHORE,0.616,0.611,0.5983334,0.616,0.5986667,0.5776666,0.578
PC,C15c,1,low,NIKKO,0.6253333,0.6326667,0.6243333,0.6103333,0.6326667,0.6173334,0.6403334
PC,C15c,2,low,NIKKO,0.6576667,0.6573333,0.643,0.6413333,0.663,0.6533333,0.6333333
PC,C15c,3,low,NIKKO,0.6393333,0.6583334,0.6506667,0.6363334,0.661,0.656,0.639
PC,C15c,4,low,NIKKO,0.646,0.6633334,0.655,0.6526667,0.673,0.6673333,0.648
PC,C15c,5,low,NIKKO,0.665,0.6573333,0.652,0.6516666,0.6683334,0.665,0.6525
PC,C15c,6,low,NIKKO,0.669,0.659,0.6556667,0.6546667,0.6653333,0.6673333,0.644
PC,C15c,7,low,NIKKO,0.6563333,0.6543334,0.6463333,0.646,0.6566667,0.6523333,0.638
PC,C15c,8,low,NIKKO,0.655,0.6616667,0.66,0.6536667,0.6583334,0.6566667,0.648
PC,C15e,1,low,OFFSHORE,0.6843333,0.6776667,0.6633334,0.6473333,0.6753333,0.6626667,0.648
PC,C15d,2,low,OFFSHORE,0.649,0.652,0.6513333,0.6396667,0.657,0.646,0.641
PC,C15e,3,low,OFFSHORE,0.6656666,0.6496667,0.6553333,0.6423333,0.6596667,0.667,0.6576667
PC,C15d,4,low,OFFSHORE,0.65,0.6733334,0.673,0.6683334,0.6853333,0.6503333,0.6416667
PC,C15d,5,low,OFFSHORE,0.619,0.631,0.6316667,0.6273333,0.642,0.646,0.6426666
PC,C15e,6,low,OFFSHORE,0.6733334,0.6713333,0.6733334,0.667,0.691,0.689,0.645
PC,C15d,7,low,OFFSHORE,0.6346667,0.6366667,0.6433333,0.632,0.6473333,0.6423333,0.63
PC,C15d,8,low,OFFSHORE,0.6566667,0.646,0.636,0.6326667,0.654,0.6493334,0.6293333
PC,C15c,1,high,NIKKO,0.6366667,0.6273333,0.5933333,0.6273333,0.611,0.605,0.6026667
PC,C15c,2,high,NIKKO,0.6313334,0.6226667,0.5966667,0.617,0.6136667,0.595,0.631
PC,C15c,3,high,NIKKO,0.7033333,0.6506667,0.608,0.636,0.6336667,0.6223334,0.6263334
PC,C15c,4,high,NIKKO,0.663,0.664,0.637,0.5973333,0.6503333,0.6313334,0.6483333
PC,C15c,5,high,NIKKO,0.646,0.632,0.6046667,0.5826667,0.602,0.6003333,0.619
PC,C15c,6,high,NIKKO,0.6583334,0.6316667,0.605,0.633,0.6116667,0.605,0.6426666
PC,C15c,7,high,NIKKO,0.642,0.6523333,0.6296667,0.59,0.644,0.631,0.626
PC,C15c,8,high,NIKKO,0.668,0.6516666,0.5966667,0.6103333,0.6286666,0.6226667,0.6273333
PC,C15e,1,high,OFFSHORE,0.6696667,0.6683334,0.6416667,0.6046667,0.6676667,0.6623333,0.5723333
PC,C15d,2,high,OFFSHORE,0.6556667,0.6413333,0.6273333,0.611,0.6103333,0.6033334,0.5546666
PC,C15e,3,high,OFFSHORE,0.6753333,0.6683334,0.6303333,0.6326667,0.654,0.6096667,0.6346667
PC,C15d,4,high,OFFSHORE,0.6626667,0.65,0.618,0.654,0.6216667,0.5933333,0.6013333
PC,C15d,5,high,OFFSHORE,0.6596667,0.6163333,0.615,0.6126667,0.6096667,0.5916666,0.5823333
PC,C15e,6,high,OFFSHORE,0.68,0.6676667,0.655,0.6303333,0.6263334,0.5773333,0.619
PC,C15d,7,high,OFFSHORE,0.6453334,0.618,0.5873333,0.648,0.6093333,0.57,0.614
PC,C15d,8,high,OFFSHORE,0.638,0.627,0.6216667,0.6346667,0.6293333,0.616,0.589